,speech,Topic,Name,Representation,Top_n_words,Probability,Representative_document,speech_id
8900,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060089406
10707,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060051595
10889,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.902620744,TRUE,1060045504
12445,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.739507004,TRUE,1060023849
16932,Object.,4476,4476_drones_drone_peeping_object,"['drones', 'drone', 'peeping', 'object', 'trampoline', 'hovered', 'spying', 'snooping', 'spy', 'scifi']",drones - drone - peeping - object - trampoline - hovered - spying - snooping - spy - scifi,1,TRUE,1060009407
17995,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.846622823,TRUE,1060051612
18266,Object.,4476,4476_drones_drone_peeping_object,"['drones', 'drone', 'peeping', 'object', 'trampoline', 'hovered', 'spying', 'snooping', 'spy', 'scifi']",drones - drone - peeping - object - trampoline - hovered - spying - snooping - spy - scifi,1,TRUE,1060039911
18542,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.679038546,TRUE,1060045525
20106,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060009854
22540,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.796744434,TRUE,1060086483
22554,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.705977223,TRUE,1060039933
22882,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.941870835,TRUE,1060085824
23145,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.657438222,TRUE,1060086498
23507,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.817391447,TRUE,1060051607
25201,"Mr. President. I rise to commemorate the 35th anniversary of the Wilderness Act of 1964. which was signed into law on September 3. 1964 by President Lyndon B. Johnson. and to announce the formation of a Senate Wilderness and Public Lands Caucus. The Wilderness Act became law seven years after the first wilderness bill was introduced by Senator Hubert H. Humphrey of Minnesota. The final bill. sponsored by Senator Clinton Anderson of New Mexico. passed the Senate by a vote of 7312 on April 9. 1963. and passed the House of Representatives by a vote of 3731 on July 30. 1964. The Wilderness Act of 1964 established a National Wilderness Preservation System ""to secure for the American people of present and future generations the benefits of an enduring resource of wilderness."" The law reserves to Congress the authority to designate wilderness areas. and directs the federal land management agencies to review the lands under their responsibility for their wilderness potential. The original Wilderness Act established 9.1 million acres of Forest Service land in 54 wilderness areas. Now. after passage of 102 pieces of legislation the wilderness system is comprised of over 104 million acres in 625 wilderness areas. across 44 States. and administered by four federal agencies: the Forest Service in the U.S. Department of Agriculture. and the Bureau of Land Management. the Fish and Wildlife Service. and the National Park Service in the Department of the Interior. As we in this body know well. the passage and enactment of legislation of this type is a remarkable accomplishment. It requires steady. bipartisan commitment. institutional support. and direct leadership. The United States Senate was instrumental in shaping this very important law. and this anniversary gives us the opportunity to recognize this role. I am honored today to be joined on the floor by one of the three Senators remaining in this body who have the distinguished honor of having voted for this legislation. the Senior Senator from West Virginia . I look forward to his remarks at the conclusion of my own. The Senior Senator from Massachusetts and the Senior Senator from Hawaii . who also voted for this legislation. have asked that their remarks regarding this anniversary be included in the RECORD. Their remarks will also appear .in the RECORD together with my remarks on the Wilderness Act anniversary. In addition. I understand that the Ranking Member of the Energy Committee has a statement on the anniversary. Under the Wilderness Act. wilderness is defined as ""an area of undeveloped -federal land retaining its primeval character and influence which generally appears to have been affected primarily by the forces of nature. with the imprint of mans work substantially unnoticeable."" The concept of the creation of a national wilderness system marked an innovation in the American conservation movementwilderness would be a place where our ""management strategy"" would be to leave lands essentially undeveloped. Congress lavished more time and effort on the wilderness bill than almost any other measure in conservation history. The original bill established 9.1 million acres of federally protected wilderness in national forests. From June 1957 until May 1964 there were nine separate hearings on the proposal. collecting over six thousand pages of testimony. The bill itself was modified and rewritten sixtysix different times. Twenty different Senators made statements on the legislation. Much of the delay in reaching a final version stemmed from the conflicts between the scope of the bills restrictions on mining. grazing. oil and other extractive activities on designated wilderness areas and the need for the law to be flexible in the light of preexisting activities. The bills supporters argued that the measure gave legal sanction to the areas already being managed by the Forest Service as primitive areas. More importantly. they successfully argued that Congressional action was necessary because the wilderness that exists is its own finite resource. More than a century of development had brought greatly changed conditions to both public and private lands throughout the country. ""If the year were 1857 instead of 1957."" one supporter of the bill wrote in the Living Wilderness. the Wilderness Societys newsletter. ""Id say definitely no [to a wilderness bill]. But given the almost total dominance of developed civilization. I am compelled to work for saving the remnants of undeveloped land."" I think those remarks apply just as well to the state of our federal lands today. more than thirtyfive years later. My interest in this law stems from the fact that Wisconsin has produced great wilderness thinkers and leaders in the wilderness movement such as Aldo Leopold. Sigurd Olsen. John Muir and former Senator Gaylord Nelson. Senator Nelson was a cosponsor of the Wilderness Act of 1964. along with former Wisconsin Senator William Proxmire. I am proud to now hold the Senate seat that Senator Nelson held with distinction from 1963 to 1981. As a Senator from Wisconsin. I have a special depth of feeling about this issue. The testimony at Congressional hearings and the treatment of the bill in the press of the day reveals Wisconsins crucial role in the long and continuing American debate about our wild places. and the development of the Wilderness Act. The names and ideas of John Muir. Sigurd Olson. and Aldo Leopold. especially Leopold. appear time and tim6 again in the legislative history. Senator Clinton Anderson of New Mexico. chairman of what was then called the Committee on Interior and Insular Affairs. stated that his support of the wilderness system was the direct result of discussions he had held almost forty years before with Leopold. who was then in the Southwest with the Forest Service. It was Leopold who advocated. while with the Forest Service. the creation of a primitive area in the Gila National Forest in New Mexico in 1923. The Gila Primitive Area formally became part of the wilderness system when the Wilderness Act became law. In a statement in favor of the Wilderness Act in the New York Times. then Secretary of the Interior Stewart Udall discussed ecology and what he called ""a land ethic"" and referred to Leopold as the instigator of the modern wilderness movement. At a Senate hearing in 1961. David Brower of the Sierra Club went so far as to allege that ""no man who reads Leopold with an open mind will ever again. with a clear conscience. be able to step up and testify against the wilderness bill."" For others. the ideas of Olson and Muir provided a justification for the wilderness system. particularly that. the countrys strength depends upon blending contact with the primitive into a civilized existence because the frontier played such a central role in the our history. Passage of the Wilderness Act of 1964 has not terminated the American debate over the meaning. value and need to protect wild country. As I mentioned. the wilderness system has dramatically expanded under both Republican and Democratic leadership. The number of wildernesses established and acres designated by each Congress has varied greatly from year to year. There have been only nine individual years since passage of the Wilderness Act when no wildernesses were designated. and 1965 to 1967 was the only period of three consecutive years in which no wilderness legislation was passed by Congress. In 1984. during the Reagan Administration. 175 wildernesses were established. more than double any other years addition. Despite the record -number of new wildernesses in 1984. the largest number of wilderness acres was designated in 1980 with passage of the Alaska National Interest Lands Conservation Act. which added over 56 million acres to the National Wilderness Preservation System. Combined with other wilderness laws passed that year. nearly 61 million acres of wilderness were designated in 1980. more than 6 times the number of acres passed in any other year. Significant additions to the system continued up until 1994. when Congress passed the California Desert Protection Act. Despite this accomplishment. Congress has gotten out of the habit of passing wilderness bills which protect our remaining wildernessquality federal lands. In the 105th Congress. the Senates actions were much more modest--we added about 160 acres to the Eagles Nest Wilderness in Colorado. However. Congress has much bolder bills before.it. with bipartisan support. such as the bills to designate 9.1 million acres in Utah and the coastal plain of the Arctic National Wildlife Refuge as wilderness. In addition. President Clinton proposed a new omnibus National Parks wilderness bill in his State of the Union. We need to address these measures. and to revitalize the tradition of statewide and state delegation led wilderness bills. In order to get the Senate in a position to act on wilderness.issues. I hope to raise awareness of the importance of wilderness in the Senate. I have been working to organize a Wilderness and Public Lands Caucus that will help the Senate to renew its bipartisan commitment to the active protection of wilderness and public lands. Today I am delighted to announce that Senator MCCAIN. Senator DURBIN. Senator FEINSTEIN. Senator MURRAY. and Senator BAYH will be joining me in this effort. I encourage any member of the Senate interested in learning about and working on these issues to join our caucus. and I am grateful to these members who are willing to lend their time and leadership. I feel it is time to promote and redevelop expertise on these issues in the Senate. In the early days of the Wilderness Act many Senators had expertise on these issues. and ad hoc coalitions formed to pass large bills with provisions for a number of states. However. now that the Senate has lost its zeal for the continuing work of identifying and designating wilderness areas this expertise has dwindled. Without a new dedication to rebuilding this expertise. wilderness and public lands issues will remain increasingly divisive. despite a resurgent public interest in our wilderness and an increased public desire for Congress to extend additional protection to federal lands of wilderness quality. I intend for the caucus to meet as necessary during each Senate session in pursttit of several objectives: To assist members in defending existing wilderness areas. and other federal land resources already protected in the public trust. from activities that have the potential to significantly affect the qualities for which they were designated. To support and provide advice to members seeking opportunities to designate new wilderness areas. To provide members with a bipartisan forum in which to discuss wilderness and other public land protection and management issues and learn from others expertise. To educate members about the Wilderness Act and other federal land management statutes. and to improve understanding of the appropriate uses of various federal land management designations and the federal financial and management requirements needed to implement them. Mr. President. many would agree that more must be done to protect our wild places. One of the things that needs to be done. particularly on the cusp of the Millennium. is to examine and improve the ability of this body to understand and grappl e with these issues in the public interest. This is a great institution. with a strong conservation history. which has produced the Wilderness Act. one of the gems of conservation law. I am actively committing to working on wilderness issues because I believe it to be in the Wisconsin tradition. and. as a Senator. I am trying to use the tools I have been given by the people of Wisconsin to build the leadership needed to defend these places. In conclusion. I would like to remind colleagues of the words of Aldo Leopold in his 1949 book. A Sand County Almanac. He said. ""The outstanding scientific discovery of the Twentieth Century is not the television. or radio. but rather the complexity of the land organism. Only those who knowthe most about it can appreciate how little is known about it."" We still have much to learn. but this anniversary of the Wilderness Act reminds us how far we have come and how powerful a collegial commitment to public lands can be in the Senate. I am very pleased and honored to be able to yield the remainder of my time .to one of the three Senators who is here to vote for this legislation. the senior Senator from West Virginia. Mr. BYRD.",43,43_wilderness_park_lands_monument,"['wilderness', 'park', 'lands', 'monument', 'land', 'parks', 'acres', 'recreation', 'forest', 'trails']",wilderness - park - lands - monument - land - parks - acres - recreation - forest - trails,1,TRUE,1060076042
25337,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,1,TRUE,1060051580
25830,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.638250714,TRUE,1060057889
26699,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.852901049,TRUE,1060024404
